"","elevacion","fechahora","lat_geo","lon_geo","lat_utm","lon_utm","tiempo_GPS","hora","horal","distancia"
"106",602.48,2019-10-09 08:48:04,-26.3498978131,-53.9504285529,7081968.76409073,804371.911614203,3,"08:48:04","11:48:04",0.193479195837203
"107",602.35,2019-10-09 08:48:07,-26.3498970587,-53.9504237752,7081968.83642957,804372.390719504,3,"08:48:07","11:48:07",0.484535650870547
"108",602.34,2019-10-09 08:48:10,-26.34990016,-53.9504195005,7081968.48257185,804372.809486164,3,"08:48:10","11:48:10",0.548252499995897
"109",602.35,2019-10-09 08:48:13,-26.3499043509,-53.9504172374,7081968.01268798,804373.024507172,3,"08:48:13","11:48:13",0.516744502702635
"110",602.23,2019-10-09 08:48:16,-26.3499074522,-53.9504184946,7081967.67189381,804372.890827254,3,"08:48:16","11:48:16",0.366075110369916
"111",602.24,2019-10-09 08:48:19,-26.3499109726,-53.9504206739,7081967.28682211,804372.66396276,3,"08:48:19","11:48:19",0.446931441883233
"112",602.42,2019-10-09 08:48:22,-26.3499138225,-53.9504219312,7081966.97389456,804372.530931819,3,"08:48:22","11:48:22",0.340030707734887
"113",602.37,2019-10-09 08:48:25,-26.3499146607,-53.9504207578,7081966.87821346,804372.645917089,3,"08:48:25","11:48:25",0.149587722320724
"114",602.3,2019-10-09 08:48:28,-26.3499139063,-53.9504218474,7081966.96440787,804372.539080906,3,"08:48:28","11:48:28",0.137271438327249
"115",602.34,2019-10-09 08:48:31,-26.3499131519,-53.9504214283,7081967.0470395,804372.58291195,3,"08:48:31","11:48:31",0.093536872472658
"116",602.46,2019-10-09 08:48:34,-26.3499148283,-53.9504212607,7081966.86082346,804372.595255382,3,"08:48:34","11:48:34",0.186624690466512
"117",602.38,2019-10-09 08:48:37,-26.3499206118,-53.9504128788,7081966.19995859,804373.417159553,3,"08:48:37","11:48:37",1.05464157177344
